,area,height,perimeter,velocity,acceleration,circularity,time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
1,0.0,0.0,0.0,0.0,0.0,0.0,0.32
2,35.72233146,11.1105,15.723479026171319,0.0,0.0,1.0,0.48
3,63.76375206,12.0981,20.71184662617132,-25.0,-156.25,1.0,0.64
4,90.58598046000002,11.8512,25.862427526171317,-31.25,-39.0625,1.0,0.8
5,112.53144006000001,12.0981,34.13530582617132,-37.5,-39.0625,1.0,0.9600000000000001
6,118.44452223,12.0981,39.578216326171315,-62.5,-156.25,0.9501942732123625,1.12
7,118.56644145000001,11.8512,40.86654052617131,-62.5,0.0,0.8921459322304962,1.28
8,120.33427014,12.0981,40.498906426171324,-50.0,78.125,0.9219611046611325,1.44
9,113.44583421,11.6043,39.64339792617132,-62.5,-78.125,0.9071031466198939,1.5999999999999999
10,116.92053198,11.6043,40.72753582617133,-68.75,-39.0625,0.8857769565821217,1.7599999999999998
11,119.78563365000001,11.3574,40.52137432617132,-62.5,39.0625,0.9167401779657576,1.9199999999999997
12,123.62608908,11.6043,41.109243226171316,-56.25,39.0625,0.919265646464553,2.0799999999999996
13,115.64038017,11.3574,40.06806592617132,-68.75,-78.125,0.9051542927671498,2.2399999999999998
14,116.12805705,11.6043,39.20638492617132,-50.0,117.1875,0.9493654553120455,2.4
15,123.26033142,11.8512,41.14010572617131,-62.5,-78.125,0.9151712918871344,2.56
16,127.16174646,11.8512,41.91808762617132,-68.75,-39.0625,0.9094177481365805,2.72
17,121.12674507,12.345,41.03591392617131,-62.5,39.0625,0.9039027144431103,2.8800000000000003
18,121.3096239,11.8512,41.182819426171314,-62.5,0.0,0.8988204998529465,3.0400000000000005
19,112.16568240000001,11.1105,39.669816226171314,-62.5,0.0,0.8956730146754309,3.2000000000000006
20,117.46916847000001,11.1105,39.82709152617131,-56.25,39.0625,0.9306289840057381,3.3600000000000008
21,116.4328551,11.3574,39.65352082617132,-68.75,-78.125,0.9305118379925872,3.520000000000001
22,117.59108769,11.3574,40.07004112617131,-56.25,78.125,0.9203323654392841,3.680000000000001
23,119.60275482,11.1105,40.111026526171315,-62.5,-39.0625,0.9341647890676075,3.840000000000001
24,117.40820886,11.6043,40.09250902617132,-43.75,117.1875,0.9178714370059746,4.000000000000001
25,117.34724925,11.3574,39.92511082617131,-81.25,-234.375,0.9251039110734726,4.160000000000001
26,116.31093588000002,11.1105,40.221143926171315,-56.25,156.25,0.903486313285456,4.320000000000001
27,121.43154312000001,11.3574,40.83790012617131,-56.25,0.0,0.9149862602647021,4.480000000000001
28,117.77396652,11.3574,39.90264292617132,-68.75,-78.125,0.9295138007549962,4.6400000000000015
29,118.50548184,11.1105,40.40705962617132,-50.0,117.1875,0.9120818372389297,4.800000000000002
30,121.00482585000002,11.3574,40.81938262617131,-68.75,-117.1875,0.9125983750058015,4.960000000000002
31,121.00482585000002,11.3574,40.79913682617132,-50.0,117.1875,0.9135043190953892,5.120000000000002
32,116.55477432,11.3574,40.153740226171315,-81.25,-195.3125,0.9084225824917068,5.280000000000002
33,119.96851248,11.3574,40.48656142617131,-43.75,234.375,0.9197194091582351,5.440000000000002
34,118.62740106000001,11.6043,39.93128332617132,-68.75,-156.25,0.9349068545476671,5.600000000000002
35,119.54179521000002,11.3574,40.22311912617132,-56.25,78.125,0.9284919593893421,5.7600000000000025
36,122.04113922,11.3574,40.84802302617132,-68.75,-78.125,0.9191238434131078,5.920000000000003
37,121.3096239,11.3574,40.50507892617132,-62.5,39.0625,0.9291506922352236,6.080000000000003
38,116.06709744,11.3574,39.151326226171314,-62.5,0.0,0.9515377701241697,6.240000000000003
39,119.78563365000001,12.0981,41.76698482617132,-56.25,39.0625,0.8628759202284982,6.400000000000003
40,114.17734953,11.1105,39.32884732617132,-68.75,-78.125,0.9276141935246532,6.560000000000003
41,115.70133978,11.6043,39.38193082617131,-56.25,78.125,0.9374632289136094,6.720000000000003
42,121.3096239,11.3574,40.11917422617132,-62.5,-39.0625,0.9471115865209428,6.8800000000000034
43,120.15139131000001,11.3574,40.58260552617132,-50.0,78.125,0.9167666684235305,7.040000000000004
44,117.65204729999999,11.1105,40.462118326171314,-62.5,-78.125,0.9030506744533919,7.200000000000004
45,121.61442195000001,11.8512,41.38700572617132,-68.75,-39.0625,0.8922096776473548,7.360000000000004
46,125.45487738,12.345,42.10375642617131,-62.5,39.0625,0.8893152202438922,7.520000000000004
47,123.19937181,11.8512,41.59119202617131,-68.75,-39.0625,0.8949847228383505,7.680000000000004
48,121.00482585000002,12.345,41.66896552617131,-56.25,78.125,0.8757640578728841,7.840000000000004
49,116.12805705,11.1105,40.15769062617132,-68.75,-78.125,0.9049187036527155,8.000000000000004
50,117.22533003,11.6043,40.16188792617132,-50.0,117.1875,0.9132781941230685,8.160000000000004
51,120.63906819000002,11.6043,40.81938262617132,-68.75,-117.1875,0.9098398912526352,8.320000000000004
52,120.27331053000002,11.8512,42.04450042617132,-68.75,0.0,0.8549894109893165,8.480000000000004
53,116.79861276,11.6043,41.844511426171316,-93.75,-156.25,0.8382441780717562,8.640000000000004
54,119.05411833000001,9.876,53.146358926171324,-100.0,-39.0625,0.5296722917880747,8.800000000000004
55,77.66254314,7.9008,45.13568842617132,-56.25,273.4375,0.47905053569984696,8.960000000000004
56,0.0,0.0,0.0,0.0,351.5625,0.0,9.120000000000005
57,0.0,0.0,0.0,0.0,0.0,0.0,9.280000000000005
58,0.0,0.0,0.0,0.0,0.0,0.0,9.440000000000005
